"","consent_form","FL_16_DO","age","high_school","gender","colorblindness","red_knowplausible","green_knowplausible","purple_knowplausible","blue_knowplausible","red_knowimplausible","green_prob","purple_prob","blue_knowimplausible","red_ignorance","green_ignorance","purple_ignorance","blue_ignorance"
"28","I agree","cond_know_plausible",29,"Yes","Male","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"29","I agree","cond_know_plausible",30,"Yes","Male","No",10,0,0,90,NA,NA,NA,NA,NA,NA,NA,NA
"30","I agree","cond_ignorance",22,"Yes","Female","Yes",NA,NA,NA,NA,NA,NA,NA,NA,20,15,15,50
"31","I agree","cond_know_implausible",29,"Yes","Male","No",NA,NA,NA,NA,19,1,0,80,NA,NA,NA,NA
"32","I agree","cond_know_implausible",24,"Yes","Male","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"33","I agree","cond_know_plausible",30,"Yes","Male","No",20,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA
"34","I agree","cond_ignorance",21,"Yes","Non-binary / other","No",NA,NA,NA,NA,NA,NA,NA,NA,10,5,5,80
"35","I agree","cond_know_plausible",19,"Yes","Male","No",10,5,10,75,NA,NA,NA,NA,NA,NA,NA,NA
"36","I agree","cond_know_implausible",23,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"37","I agree","cond_know_implausible",21,"Yes","Female","No",NA,NA,NA,NA,25,5,5,65,NA,NA,NA,NA
"38","I agree","cond_know_plausible",21,"Yes","Female","No",20,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA
"39","I agree","cond_ignorance",21,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,10,5,5,80
"40","I agree","cond_ignorance",20,"Yes","Non-binary / other","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"41","I agree","cond_know_plausible",27,"Yes","Non-binary / other","No",5,5,10,80,NA,NA,NA,NA,NA,NA,NA,NA
"42","I agree","cond_know_plausible",33,"Yes","Male","No",5,0,0,95,NA,NA,NA,NA,NA,NA,NA,NA
"43","I agree","cond_ignorance",24,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,90
"44","I agree","cond_know_implausible",25,"Yes","Male","No",NA,NA,NA,NA,25,10,15,50,NA,NA,NA,NA
"45","I agree","cond_ignorance",35,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,20,40,30,10
"46","I agree","cond_know_plausible",43,"Yes","Female","No",1,1,1,97,NA,NA,NA,NA,NA,NA,NA,NA
"47","I agree","cond_know_implausible",23,"Yes","Female","No",NA,NA,NA,NA,10,50,30,10,NA,NA,NA,NA
"48","I agree","cond_know_implausible",38,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"49","I agree","cond_know_plausible",20,"Yes","Male","No",10,5,5,80,NA,NA,NA,NA,NA,NA,NA,NA
"50","I agree","cond_ignorance",28,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"51","I agree","cond_know_implausible",23,"Yes","Male","No",NA,NA,NA,NA,25,0,5,70,NA,NA,NA,NA
"52","I agree","cond_know_plausible",32,"Yes","Male","No",15,3,2,80,NA,NA,NA,NA,NA,NA,NA,NA
"53","I agree","cond_ignorance",58,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"54","I agree","cond_know_implausible",27,"Yes","Male","No",NA,NA,NA,NA,20,20,40,20,NA,NA,NA,NA
"55","I agree","cond_ignorance",20,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,85
"56","I agree","cond_know_implausible",21,"Yes","Female","No",NA,NA,NA,NA,70,5,5,20,NA,NA,NA,NA
"57","I agree","cond_know_plausible",28,"Yes","Female","No",10,10,40,40,NA,NA,NA,NA,NA,NA,NA,NA
"58","I agree","cond_ignorance",23,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,25,15,10,50
"59","I agree","cond_know_plausible",26,"Yes","Male","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"60","I agree","cond_ignorance",20,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,70,10,10,10
"61","I agree","cond_know_implausible",37,"Yes","Male","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"62","I agree","cond_know_implausible",32,"Yes","Male","No",NA,NA,NA,NA,10,5,15,70,NA,NA,NA,NA
"63","I agree","cond_know_plausible",18,"Yes","Male","No",1,1,1,97,NA,NA,NA,NA,NA,NA,NA,NA
"64","I agree","cond_know_plausible",33,"Yes","Female","No",10,20,30,70,NA,NA,NA,NA,NA,NA,NA,NA
"65","I agree","cond_ignorance",21,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,34,33,33,0
"66","I agree","cond_know_implausible",18,"Yes","Female","No",NA,NA,NA,NA,50,0,0,50,NA,NA,NA,NA
"67","I agree","cond_ignorance",36,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"68","I agree","cond_know_plausible",23,"Yes","Female","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"69","I agree","cond_know_plausible",21,"Yes","Male","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"70","I agree","cond_know_implausible",22,"Yes","Male","No",NA,NA,NA,NA,9,8,8,75,NA,NA,NA,NA
"71","I agree","cond_know_implausible",22,"Yes","Male","No",NA,NA,NA,NA,10,5,5,80,NA,NA,NA,NA
"72","I agree","cond_ignorance",33,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"73","I agree","cond_know_implausible",28,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"74","I agree","cond_know_plausible",18,"Yes","Female","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"75","I agree","cond_ignorance",26,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,80
"76","I agree","cond_know_implausible",26,"Yes","Male","No",NA,NA,NA,NA,20,5,15,60,NA,NA,NA,NA
"77","I agree","cond_know_implausible",19,"Yes","Male","No",NA,NA,NA,NA,10,10,10,70,NA,NA,NA,NA
"78","I agree","cond_ignorance",21,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,50
"79","I agree","cond_know_plausible",26,"Yes","Male","No",20,50,10,20,NA,NA,NA,NA,NA,NA,NA,NA
"80","I agree","cond_ignorance",19,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,60
"81","I agree","cond_know_plausible",29,"Yes","Male","No",40,10,10,40,NA,NA,NA,NA,NA,NA,NA,NA
"82","I agree","cond_ignorance",60,"Yes","Prefer not to say","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"83","I agree","cond_know_implausible",44,"Yes","Male","No",NA,NA,NA,NA,15,15,15,55,NA,NA,NA,NA
"84","I agree","cond_know_plausible",19,"Yes","Male","No",20,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA
"85","I agree","cond_know_implausible",34,"Yes","Male","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"86","I agree","cond_ignorance",48,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"87","I agree","cond_know_plausible",20,"Yes","Female","No",10,0,0,90,NA,NA,NA,NA,NA,NA,NA,NA
"88","I agree","cond_know_implausible",30,"Yes","Male","No",NA,NA,NA,NA,5,5,85,5,NA,NA,NA,NA
"89","I agree","cond_know_plausible",24,"Yes","Male","No",1,1,1,97,NA,NA,NA,NA,NA,NA,NA,NA
"90","I agree","cond_ignorance",18,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,75
"91","I agree","cond_know_plausible",24,"Yes","Female","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"92","I agree","cond_ignorance",60,"Yes","Non-binary / other","No",NA,NA,NA,NA,NA,NA,NA,NA,34,33,33,0
"93","I agree","cond_know_implausible",51,"Yes","Male","No",NA,NA,NA,NA,25,25,25,25,NA,NA,NA,NA
"94","I agree","cond_know_implausible",20,"Yes","Male","No",NA,NA,NA,NA,20,0,0,80,NA,NA,NA,NA
"95","I agree","cond_ignorance",32,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,95
"96","I agree","cond_know_plausible",18,"Yes","Male","No",40,10,10,40,NA,NA,NA,NA,NA,NA,NA,NA
"97","I agree","cond_ignorance",22,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,40
"98","I agree","cond_know_implausible",20,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"99","I agree","cond_know_plausible",21,"Yes","Male","No",40,20,10,30,NA,NA,NA,NA,NA,NA,NA,NA
"100","I agree","cond_know_plausible",31,"Yes","Female","No",20,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA
"101","I agree","cond_ignorance",24,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,85
"102","I agree","cond_know_implausible",40,"Yes","Male","No",NA,NA,NA,NA,40,10,10,40,NA,NA,NA,NA
"103","I agree","cond_ignorance",20,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,40,10,10,40
"104","I agree","cond_ignorance",29,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,10,10,5,75
"105","I agree","cond_know_implausible",27,"Yes","Male","No",NA,NA,NA,NA,70,20,10,10,NA,NA,NA,NA
"106","I agree","cond_know_plausible",33,"Yes","Male","No",30,15,15,40,NA,NA,NA,NA,NA,NA,NA,NA
"107","I agree","cond_know_plausible",21,"Yes","Female","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"108","I agree","cond_know_implausible",42,"Yes","Male","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"109","I agree","cond_ignorance",21,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,20,10,30,50
"110","I agree","cond_know_implausible",30,"Yes","Male","No",NA,NA,NA,NA,50,0,0,50,NA,NA,NA,NA
"111","I agree","cond_know_implausible",23,"Yes","Male","No",NA,NA,NA,NA,10,2,2,86,NA,NA,NA,NA
"112","I agree","cond_know_plausible",29,"Yes","Female","No",85,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA
"113","I agree","cond_know_plausible",19,"Yes","Female","No",60,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA
"114","I agree","cond_ignorance",53,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"115","I agree","cond_know_plausible",22,"Yes","Female","No",30,20,20,30,NA,NA,NA,NA,NA,NA,NA,NA
"116","I agree","cond_know_implausible",33,"Yes","Female","No",NA,NA,NA,NA,25,25,25,25,NA,NA,NA,NA
"117","I agree","cond_ignorance",28,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"118","I agree","cond_ignorance",37,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,0
"119","I agree","cond_ignorance",29,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,50
"120","I agree","cond_know_plausible",20,"Yes","Male","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"121","I agree","cond_know_implausible",32,"Yes","Female","No",NA,NA,NA,NA,40,10,5,45,NA,NA,NA,NA
"122","I agree","cond_know_implausible",26,"Yes","Male","No",NA,NA,NA,NA,40,0,0,60,NA,NA,NA,NA
"123","I agree","cond_know_plausible",25,"Yes","Female","No",10,10,10,70,NA,NA,NA,NA,NA,NA,NA,NA
"124","I agree","cond_know_plausible",20,"Yes","Male","No",10,5,5,80,NA,NA,NA,NA,NA,NA,NA,NA
"125","I agree","cond_ignorance",31,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,97
"126","I agree","cond_know_plausible",27,"Yes","Female","No",30,15,15,30,NA,NA,NA,NA,NA,NA,NA,NA
"127","I agree","cond_know_implausible",31,"Yes","Female","No",NA,NA,NA,NA,10,10,20,60,NA,NA,NA,NA
"128","I agree","cond_know_implausible",20,"Yes","Female","No",NA,NA,NA,NA,5,2.5,2.5,90,NA,NA,NA,NA
"129","I agree","cond_ignorance",40,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,30,20,20,30
"130","I agree","cond_know_plausible",20,"Yes","Female","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"131","I agree","cond_know_implausible",56,"Yes","Male","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"132","I agree","cond_ignorance",46,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,40,10,10,40
"133","I agree","cond_know_implausible",27,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"134","I agree","cond_know_plausible",24,"Yes","Male","No",40,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA
"135","I agree","cond_ignorance",30,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"136","I agree","cond_know_plausible",27,"Yes","Female","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"137","I agree","cond_ignorance",49,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,40
"138","I agree","cond_know_implausible",21,"Yes","Male","No",NA,NA,NA,NA,30,0,0,70,NA,NA,NA,NA
"139","I agree","cond_know_implausible",19,"Yes","Non-binary / other","No",NA,NA,NA,NA,25,12.5,12.5,50,NA,NA,NA,NA
"140","I agree","cond_ignorance",20,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,7,1.5,1.5,90
"141","I agree","cond_know_plausible",27,"Yes","Male","No",2,2,2,94,NA,NA,NA,NA,NA,NA,NA,NA
"142","I agree","cond_know_implausible",25,"Yes","Female","No",NA,NA,NA,NA,30,20,20,30,NA,NA,NA,NA
"143","I agree","cond_know_plausible",21,"Yes","Female","No",30,0,0,70,NA,NA,NA,NA,NA,NA,NA,NA
"144","I agree","cond_ignorance",37,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,80
"145","I agree","cond_ignorance",25,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,15,5,5,75
"146","I agree","cond_know_implausible",24,"Yes","Male","No",NA,NA,NA,NA,15,5,5,75,NA,NA,NA,NA
"147","I agree","cond_know_plausible",21,"Yes","Male","No",4,3,3,90,NA,NA,NA,NA,NA,NA,NA,NA
"148","I agree","cond_ignorance",21,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"149","I agree","cond_know_plausible",18,"Yes","Male","No",5,2.5,2.5,90,NA,NA,NA,NA,NA,NA,NA,NA
"150","I agree","cond_know_implausible",18,"Yes","Male","No",NA,NA,NA,NA,20,20,20,40,NA,NA,NA,NA
"151","I agree","cond_know_plausible",23,"Yes","Male","No",25,0,0,75,NA,NA,NA,NA,NA,NA,NA,NA
"152","I agree","cond_ignorance",28,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,40
"153","I agree","cond_know_implausible",20,"Yes","Female","No",NA,NA,NA,NA,30,20,20,30,NA,NA,NA,NA
"154","I agree","cond_know_implausible",35,"Yes","Female","No",NA,NA,NA,NA,75,0,25,0,NA,NA,NA,NA
"155","I agree","cond_know_plausible",45,"Yes","Male","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"156","I agree","cond_ignorance",29,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"157","I agree","cond_know_implausible",34,"Yes","Male","No",NA,NA,NA,NA,25,5,5,65,NA,NA,NA,NA
"158","I agree","cond_ignorance",23,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,50,25,17,8
"159","I agree","cond_know_plausible",23,"Yes","Non-binary / other","No",60,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA
"160","I agree","cond_know_implausible",26,"Yes","Male","No",NA,NA,NA,NA,2,3,5,90,NA,NA,NA,NA
"161","I agree","cond_know_plausible",74,"Yes","Male","No",30,1,9,60,NA,NA,NA,NA,NA,NA,NA,NA
"162","I agree","cond_know_implausible",26,"Yes","Male","No",NA,NA,NA,NA,20,13,17,50,NA,NA,NA,NA
"163","I agree","cond_ignorance",26,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,85
"164","I agree","cond_ignorance",25,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,10,30,50,10
"165","I agree","cond_know_plausible",19,"Yes","Female","No",10,10,10,70,NA,NA,NA,NA,NA,NA,NA,NA
"166","I agree","cond_know_plausible",32,"Yes","Male","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"167","I agree","cond_ignorance",32,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,90
"168","I agree","cond_know_implausible",21,"Yes","Male","No",NA,NA,NA,NA,5,5,5,85,NA,NA,NA,NA
"169","I agree","cond_know_plausible",32,"Yes","Female","No",25,10,15,50,NA,NA,NA,NA,NA,NA,NA,NA
"170","I agree","cond_ignorance",31,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"171","I agree","cond_know_plausible",49,"Yes","Male","No",20,10,20,50,NA,NA,NA,NA,NA,NA,NA,NA
"172","I agree","cond_know_implausible",49,"Yes","Female","No",NA,NA,NA,NA,10,20,20,50,NA,NA,NA,NA
"173","I agree","cond_ignorance",49,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,20,10,50
"174","I agree","cond_know_plausible",33,"Yes","Male","No",25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA
"175","I agree","cond_know_implausible",26,"Yes","Male","No",NA,NA,NA,NA,10,0,0,90,NA,NA,NA,NA
"176","I agree","cond_ignorance",21,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"177","I agree","cond_ignorance",44,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,10,5,5,80
"178","I agree","cond_know_implausible",56,"Yes","Female","No",NA,NA,NA,NA,35,0,15,50,NA,NA,NA,NA
"179","I agree","cond_know_plausible",43,"Yes","Female","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"180","I agree","cond_know_plausible",26,"Yes","Female","No",10,0,0,90,NA,NA,NA,NA,NA,NA,NA,NA
"181","I agree","cond_ignorance",26,"No","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,5,10,5,80
"182","I agree","cond_know_implausible",42,"Yes","Female","No",NA,NA,NA,NA,0,0,20,80,NA,NA,NA,NA
"183","I agree","cond_know_implausible",45,"Yes","Female","No",NA,NA,NA,NA,20,20,20,40,NA,NA,NA,NA
"184","I agree","cond_ignorance",31,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25
"185","I agree","cond_know_plausible",30,"Yes","Male","No",40,0,0,60,NA,NA,NA,NA,NA,NA,NA,NA
"186","I agree","cond_know_plausible",22,"Yes","Female","No",40,20,10,30,NA,NA,NA,NA,NA,NA,NA,NA
"187","I agree","cond_ignorance",32,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,90
"188","I agree","cond_know_implausible",26,"Yes","Male","No",NA,NA,NA,NA,5,10,75,10,NA,NA,NA,NA
"189","I agree","cond_know_plausible",23,"Yes","Female","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"190","I agree","cond_know_implausible",19,"Yes","Male","No",NA,NA,NA,NA,15,5,10,70,NA,NA,NA,NA
"191","I agree","cond_ignorance",35,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,5,0,75
"192","I agree","cond_ignorance",35,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,70
"193","I agree","cond_know_implausible",20,"Yes","Male","No",NA,NA,NA,NA,20,10,10,60,NA,NA,NA,NA
"194","I agree","cond_know_plausible",30,"Yes","Male","No",70,10,5,15,NA,NA,NA,NA,NA,NA,NA,NA
"195","I agree","cond_know_plausible",26,"Yes","Male","No",15,5,5,75,NA,NA,NA,NA,NA,NA,NA,NA
"196","I agree","cond_ignorance",29,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,20,5,5,70
"197","I agree","cond_know_implausible",49,"Yes","Female","No",NA,NA,NA,NA,45,25,15,15,NA,NA,NA,NA
"198","I agree","cond_know_plausible",36,"Yes","Male","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"199","I agree","cond_ignorance",33,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,33,33,33,0
"200","I agree","cond_know_implausible",22,"Yes","Male","No",NA,NA,NA,NA,25,0,25,50,NA,NA,NA,NA
"201","I agree","cond_know_implausible",23,"Yes","Female","No",NA,NA,NA,NA,40,10,10,40,NA,NA,NA,NA
"202","I agree","cond_ignorance",48,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,20,10,40,20
"203","I agree","cond_know_plausible",24,"Yes","Female","No",20,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA
"204","I agree","cond_know_implausible",23,"Yes","Non-binary / other","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"205","I agree","cond_ignorance",33,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100
"206","I agree","cond_know_plausible",41,"Yes","Male","No",3,2,5,95,NA,NA,NA,NA,NA,NA,NA,NA
"207","I agree","cond_know_plausible",32,"Yes","Female","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"208","I agree","cond_know_implausible",22,"Yes","Female","No",NA,NA,NA,NA,50,0,0,50,NA,NA,NA,NA
"209","I agree","cond_ignorance",21,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,30,0,0,70
"210","I agree","cond_ignorance",36,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,85
"211","I agree","cond_know_plausible",36,"Yes","Female","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"212","I agree","cond_know_implausible",20,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"213","I agree","cond_know_implausible",33,"Yes","Female","No",NA,NA,NA,NA,30,15,15,40,NA,NA,NA,NA
"214","I agree","cond_ignorance",29,"Yes","Non-binary / other","No",NA,NA,NA,NA,NA,NA,NA,NA,30,15,15,40
"215","I agree","cond_ignorance",19,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,50,10,10,30
"216","I agree","cond_know_implausible",26,"Yes","Female","No",NA,NA,NA,NA,0,0,20,80,NA,NA,NA,NA
"217","I agree","cond_know_plausible",35,"Yes","Male","No",20,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA
"218","I agree","cond_know_plausible",30,"Yes","Male","No",30,0,0,70,NA,NA,NA,NA,NA,NA,NA,NA
"219","I agree","cond_know_plausible",24,"Yes","Female","No",10,10,30,60,NA,NA,NA,NA,NA,NA,NA,NA
"220","I agree","cond_ignorance",18,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,40,10,0,50
"221","I agree","cond_know_implausible",32,"Yes","Male","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"222","I agree","cond_ignorance",28,"Yes","Male","No",NA,NA,NA,NA,NA,NA,NA,NA,70,10,10,10
"223","I agree","cond_know_plausible",61,"Yes","Female","No",0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
"224","I agree","cond_know_implausible",22,"Yes","Female","No",NA,NA,NA,NA,5,5,0,90,NA,NA,NA,NA
"225","I agree","cond_know_plausible",22,"Yes","Female","No",20,5,5,70,NA,NA,NA,NA,NA,NA,NA,NA
"226","I agree","cond_ignorance",21,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,80,5,5,20
"227","I agree","cond_know_plausible",27,"Yes","Male","No",50,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA
"228","I agree","cond_know_implausible",48,"Yes","Female","No",NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA
"229","I agree","cond_ignorance",29,"Yes","Female","No",NA,NA,NA,NA,NA,NA,NA,NA,30,8,2,60
